タイトル,04.プロジェクトマスタDB,対象期間,担当者,日付,概要
事業ポートフォリオ方針20261129,,3年,"新harumasa suzuki, Shape Fitチーム",,既存ジムは「基盤事業(Cash Cow)」とし、利益率維持を最優先。新規投資は法人/SFFへ集中する。
ShapeFit 10年ビジョン,,10年,"中井華音, 天池紫音, Shape Fitチーム",,
撤退ライン基準 (SFF),,1年,新harumasa suzuki,,開催ごとの粗利がX%を下回った場合、または集客数Y人未満で次回開催を見直す。
注目技術・トレンド定義,,1年,新harumasa suzuki,,AIコーチング、法人ウェルネス市場など、R&Dとしてウォッチする領域の定義。
ShapeFit 3年ビジョン,,3年,"中井華音, 天池紫音, Shape Fitチーム",,
